Route,Stops (via)
D35G-BVRH,Baleveeranahalli -> Channadasipalya -> Channenahalli -> Chowdeshwarinagara Tavarekere -> Dasegowdrapalya Nelamangala -> Gayathrinagara Cross Sondekoppa -> Honaganahatti -> Jettipalya Tavarekere -> Lakkuppe -> Mallasandra Sondekoppa -> Metipalya Tavarekere -> Seegehalli Gate -> Sondekoppa -> Tavarekere -> Tavarekere BWSSB -> Varthuru Tavarekere
242-LA,Agrahara Dasarahalli -> Anjananagara -> Baleveeranahalli -> Binny Mill -> Binnypet -> Byadarahalli College Cross -> Byadarahalli Magadi Road -> Chamarajapet Water Tank -> Channadasipalya -> Channenahalli -> Channenahalli Arch -> Chikka Gollarahatti -> Chowdeshwarinagara Tavarekere -> Dasegowdrapalya Nelamangala -> Forest Gate -> Gayathrinagara Cross Sondekoppa -> Gollarahatti -> Hamsa Farm -> Herohalli Cross -> Honaganahatti -> Jettipalya Tavarekere -> KR Market -> Kachohalli Gate -> Kadabagere Cross -> Kamakshipalya -> Kottigepalya -> Lakkuppe -> Machohalli Gate -> Magadi Road Hunasemara -> Mallasandra Sondekoppa -> Metipalya Tavarekere -> Prasanna Theatre -> Rayan Circle Tippu Sultan Road -> Seegehalli Gate -> Sirsi Circle -> Sondekoppa -> Summanahalli -> Sunkadakatte -> Tavarekere -> Tavarekere BWSSB -> Varthuru Tavarekere
374-MA,Basavanagara Kengeri -> Basavanapalya Punagamaranahalli -> Byregowdanahalli -> Chikkaveeraiahna Palya -> Chowdeshwarinagara Tavarekere -> Depot-12 Gate -> Dodda Aladamara -> Ganapathihalli -> Gayathrinagara Cross Sondekoppa -> Gerahalli Sondekoppa -> Hulegowdanahalli Cross -> Hullegowdanahalli Cross -> Hunnigere Cross Sondekoppa -> Jettipalya Tavarekere -> Kengeri TTMC -> Kethohalli -> Lakkenahalli Sondekoppa -> Mallapura Nelamangala -> Mallasandra Sondekoppa -> Metipalya Tavarekere -> Puttaiahnapalya Tavarekere -> Sondekoppa -> Subbarayappanapalya Cross -> Tavarekere -> Tavarekere BWSSB -> Tavarekere Dodda Aladamara Cross -> Tavarekere Estate -> Varthuru Tavarekere
221-L,Beedi Karmikara Colony Gate -> Byregowdanahalli -> Chamarajapet Water Tank -> Chowdeshwarinagara Tavarekere -> Gayathrinagara Cross Sondekoppa -> Gerahalli Sondekoppa -> Gulaganjahalli -> Hulegowdanahalli Cross -> Hullegowdanahalli Cross -> Hunnigere Cross Sondekoppa -> Jayaram Das Factory -> Jettipalya Tavarekere -> KR Market -> Kengeri Club -> Kengeri TTMC -> Kommaghatta -> Krishnasagara Maragondanahalli -> Lakkenahalli Sondekoppa -> Mallapura Nelamangala -> Mallasandra Sondekoppa -> Metipalya Tavarekere -> Mysore Road Bus Station -> Mysore Road Tollgate -> Nayandahalli -> Rayan Circle Tippu Sultan Road -> Sirsi Circle -> Sondekoppa -> Tavarekere -> Tavarekere BWSSB -> Varthuru Tavarekere
242-T,Agrahara Dasarahalli -> Anjananagara -> Byadarahalli College Cross -> Byadarahalli Magadi Road -> Channadasipalya -> Channenahalli -> Channenahalli Arch -> Chikka Gollarahatti -> Chowdeshwarinagara Tavarekere -> Forest Gate -> Gayathrinagara Cross Sondekoppa -> Gerahalli Sondekoppa -> Gollarahatti -> Gopalapura -> Herohalli Cross -> Honaganahatti -> Hunnigere Sondekoppa -> Jettipalya Tavarekere -> Kachohalli Gate -> Kadabagere Cross -> Kamakshipalya -> Kempegowda Bus Station -> Kottigepalya -> Lakkuppe -> Machohalli Gate -> Mallasandra Sondekoppa -> Metipalya Tavarekere -> Okalipura -> Prasanna Theatre -> Seegehalli Gate -> Sondekoppa -> Summanahalli -> Sunkadakatte -> Tavarekere -> Tavarekere BWSSB -> Varthuru Tavarekere
242-TB,Agrahara Dasarahalli -> Anjananagara -> Binny Mill -> Binnypet -> Byadarahalli College Cross -> Byadarahalli Magadi Road -> Chamarajapet Water Tank -> Channadasipalya -> Channenahalli -> Channenahalli Arch -> Chikka Gollarahatti -> Chowdeshwarinagara Tavarekere -> Forest Gate -> Gayathrinagara Cross Sondekoppa -> Gollarahatti -> Hamsa Farm -> Herohalli Cross -> Honaganahatti -> Jettipalya Tavarekere -> KR Market -> Kachohalli Gate -> Kadabagere Cross -> Kamakshipalya -> Kottigepalya -> Lakkuppe -> Machohalli Gate -> Magadi Road Hunasemara -> Mallasandra Sondekoppa -> Metipalya Tavarekere -> Prasanna Theatre -> Rayan Circle Tippu Sultan Road -> Seegehalli Gate -> Sirsi Circle -> Sondekoppa -> Summanahalli -> Sunkadakatte -> Tavarekere -> Tavarekere BWSSB -> Varthuru Tavarekere
242-L,Agrahara Dasarahalli -> Anjananagara -> Binny Mill -> Binnypet -> Byadarahalli College Cross -> Byadarahalli Magadi Road -> Chamarajapet Water Tank -> Channadasipalya -> Channenahalli -> Channenahalli Arch -> Chikka Gollarahatti -> Chowdeshwarinagara Tavarekere -> Forest Gate -> Gayathrinagara Cross Sondekoppa -> Gollarahatti -> Hamsa Farm -> Herohalli Cross -> Honaganahatti -> Jettipalya Tavarekere -> KR Market -> Kachohalli Gate -> Kadabagere Cross -> Kamakshipalya -> Kottigepalya -> Lakkuppe -> Machohalli Gate -> Magadi Road Hunasemara -> Mallasandra Sondekoppa -> Metipalya Tavarekere -> Prasanna Theatre -> Rayan Circle Tippu Sultan Road -> Seegehalli Gate -> Sirsi Circle -> Sondekoppa -> Summanahalli -> Sunkadakatte -> Tavarekere -> Tavarekere BWSSB -> Varthuru Tavarekere
242-TA KBS-MTK,Agrahara Dasarahalli -> Anjananagara -> Byadarahalli College Cross -> Byadarahalli Magadi Road -> Channadasipalya -> Channenahalli -> Channenahalli Arch -> Chikka Gollarahatti -> Chowdeshwarinagara Tavarekere -> Forest Gate -> Gayathrinagara Cross Sondekoppa -> Gerahalli Sondekoppa -> Gollarahatti -> Hamsa Farm -> Herohalli Cross -> Honaganahatti -> Hunnigere Cross Sondekoppa -> Jettipalya Tavarekere -> Kachohalli Gate -> Kadabagere Cross -> Kamakshipalya -> Kempegowda Bus Station -> Kottigepalya -> Lakkuppe -> Machohalli Gate -> Mallasandra Sondekoppa -> Metipalya Tavarekere -> Minerva Mill -> Okalipura -> Prasanna Theatre -> Seegehalli Gate -> Sondekoppa -> Summanahalli -> Sunkadakatte -> Tavarekere -> Tavarekere BWSSB -> Varthuru Tavarekere
242-TA,Agrahara Dasarahalli -> Anjananagara -> Binny Mill -> Binnypet -> Byadarahalli College Cross -> Byadarahalli Magadi Road -> Chamarajapet Water Tank -> Channadasipalya -> Channenahalli -> Channenahalli Arch -> Chikka Gollarahatti -> Chowdeshwarinagara Tavarekere -> Forest Gate -> Gayathrinagara Cross Sondekoppa -> Gerahalli Sondekoppa -> Gollarahatti -> Hamsa Farm -> Herohalli Cross -> Honaganahatti -> Jettipalya Tavarekere -> KR Market -> Kachohalli Gate -> Kadabagere Cross -> Kamakshipalya -> Kottigepalya -> Lakkuppe -> Machohalli Gate -> Magadi Road Hunasemara -> Mallasandra Sondekoppa -> Metipalya Tavarekere -> Prasanna Theatre -> Rayan Circle Tippu Sultan Road -> Seegehalli Gate -> Sirsi Circle -> Sondekoppa -> Summanahalli -> Sunkadakatte -> Tavarekere -> Tavarekere BWSSB -> Varthuru Tavarekere
D35G-MTK,Channadasipalya -> Channenahalli -> Chowdeshwarinagara Tavarekere -> Gayathrinagara Cross Sondekoppa -> Gerahalli Sondekoppa -> Honaganahatti -> Jettipalya Tavarekere -> Lakkuppe -> Mallasandra Sondekoppa -> Metipalya Tavarekere -> Seegehalli Gate -> Sondekoppa -> Tavarekere -> Tavarekere BWSSB -> Varthuru Tavarekere
245-A,Agrahara Dasarahalli -> Anjananagara -> Bayandahalli -> Bayandahalli Colony -> Bettahalli Vaddarahalli -> Binny Mill -> Binnypet -> Byadarahalli College Cross -> Byadarahalli Magadi Road -> Byregowdanahalli -> Chikka Gollarahatti -> Forest Gate -> Gayathrinagara Cross Sondekoppa -> Gerahalli Sondekoppa -> Gollarahatti -> Herohalli Cross -> Hulegowdanahalli Cross -> Hullegowdanahalli Cross -> Hunnigere Cross Sondekoppa -> Janapriya Township -> KR Market -> Kachohalli Gate -> Kadabagere Cross -> Kamakshipalya -> Kittanahalli -> Kottigepalya -> Lakkenahalli Sondekoppa -> Machohalli Gate -> Magadi Road Hunasemara -> Mallapura Nelamangala -> Mallasandra Sondekoppa -> Mutturayanaswamy Temple Kadabagere Cross -> Prasanna Theatre -> Rayan Circle Tippu Sultan Road -> Sirsi Circle -> Sondekoppa -> Summanahalli -> Sunkadakatte
242-TC,Agrahara Dasarahalli -> Anjananagara -> Binny Mill -> Binnypet -> Byadarahalli College Cross -> Byadarahalli Magadi Road -> Byregowdanahalli -> Chamarajapet Water Tank -> Channadasipalya -> Channenahalli -> Chikka Gollarahatti -> Chowdeshwarinagara Tavarekere -> Forest Gate -> Gayathrinagara Cross Sondekoppa -> Gerahalli Sondekoppa -> Gollarahatti -> Herohalli Cross -> Honaganahatti -> Hulegowdanahalli Cross -> Hullegowdanahalli Cross -> Hunnigere Cross Sondekoppa -> Jettipalya Tavarekere -> KR Market -> Kachohalli Gate -> Kadabagere Cross -> Kamakshipalya -> Kottigepalya -> Lakkenahalli Sondekoppa -> Lakkuppe -> Machohalli Gate -> Magadi Road Hunasemara -> Mallapura Nelamangala -> Mallasandra Sondekoppa -> Metipalya Tavarekere -> Prasanna Theatre -> Rayan Circle Tippu Sultan Road -> Seegehalli Gate -> Sirsi Circle -> Sondekoppa -> Summanahalli -> Sunkadakatte -> Tavarekere -> Tavarekere BWSSB -> Varthuru Tavarekere
242-TB D35G-KVH,B Narayanapura -> BPL -> BPL ITPL -> Bayyappanahalli Metro Station -> Benniganahalli -> Big Bazar ITPL -> Brook Steel ESI ITPL -> Channadasipalya -> Channenahalli -> Channenahalli Arch -> Chowdeshwarinagara Tavarekere -> Corporation -> Depot-35 -> GR Tech Park ITPL -> Gandhipura White Field -> Garudacharpalya -> Gayathrinagara Cross Sondekoppa -> Gurudwara -> Hagaduru -> Halasuru -> Hamsa Farm -> Honaganahatti -> Hoodi -> Hope Farm -> ITPL -> Immadihalli -> Isolation Hospital -> Jettipalya Tavarekere -> KR Circle -> Kempegowda Bus Station -> Lakkuppe -> Mahadevapura ITPL -> Maharanis College -> Mallasandra Sondekoppa -> Mayohall -> Metipalya Tavarekere -> Munish Singh Hospital -> NGEF -> Nagondanahalli -> Pattandur Agrahara Gate -> Philips Millenium Halsooru -> Rajapalya -> Richmond Circle -> Sai Baba General Hospital -> Seegehalli Gate -> Singaiahnapalya Phoenix Mall -> Sondekoppa -> St Joseph Boys High School -> Tavarekere -> Tavarekere BWSSB -> Tin Factory -> Trinity Circle -> Varthuru Tavarekere -> White Field Post Office
